Prenom,Nom,Compilation,Warnings,Tests Reussis,Note de Qualite,Note de Compilation,Note Finale
Natascha,Pean,1,7,0,0.0,0,0.0
Alexis,Barret,1,0,2,0.67,3.0,5.1
Alexandra,Peng,1,0,7,0.67,3.0,8.67
Marie,Cagnati,1,0,7,0.67,3.0,8.67
Denis,Herman,1,16,0,0.0,0,0.0
Remy,Bond,1,17,0,0.0,0,0.0
Cassandra,Cagnati,0,12,0,0.0,0,0.0
Alexis,Cagnati,1,0,7,0.0,3.0,8.0
Manon,Boulh,1,0,7,0.67,3.0,8.67
Denis,Lefebre,1,0,7,0.0,3.0,8.0
Jacqueline,Cover,1,0,7,0.0,3.0,8.0
Julien,Bloube,1,0,2,0.67,3.0,5.1
Pierre,Ranou,0,5,0,0.0,0,0.0
Martin,Ronan,1,20,7,0.0,0,5.0
Abdoul,Rigot,1,0,7,1.33,3.0,9.33
Julien,Cagnati,1,7,0,0.0,0,0.0
Lidia,Jiraska,1,0,7,0.0,3.0,8.0
Jeremy,Cagnati,1,0,7,0.0,3.0,8.0
Alexandre,Pean,1,0,2,0.67,3.0,5.1
Greg,Roussel,1,0,7,0.0,3.0,8.0
Simone,Chanson,1,0,7,0.67,3.0,8.67
Igor,Fonfec,0,30,0,0.0,0,0.0
Sammy,Frager,1,7,0,0.0,0,0.0
Jean-marc,Seleck,1,36,5,0.0,0,3.57
Fanny,Roussel,1,24,0,0.0,0,0.0
Aline,Nguyen,0,23,0,0.0,0,0.0
Nicolas,Cagnati,0,30,0,0.0,0,0.0
Jean-pierre,Paulo,1,7,0,0.0,0,0.0
Robert,Bicha,1,0,7,0.0,3.0,8.0
Bixente,Farah,1,0,7,0.67,3.0,8.67
Kevin,Durand,1,0,7,1.33,3.0,9.33
Marise,Rochard,1,7,0,0.0,0,0.0
Bixente,Pouchkine,1,25,0,0.0,0,0.0
Pedro,Ograik,0,16,0,0.0,0,0.0
Jean-pierre,Jiraska,1,0,7,1.33,3.0,9.33
Griska,Elpatos,1,10,7,0.0,0,5.0
Fabienne,Damon,1,0,7,0.0,3.0,8.0
Pedro,Jokey,1,0,7,0.0,3.0,8.0
Leo,Londron,1,0,7,0.0,3.0,8.0
Christophe,Bicha,1,0,2,0.0,3.0,4.43
Martin,Elpatos,1,0,2,0.0,3.0,4.43
Romain,Roussel,1,0,2,0.0,3.0,4.43
Romain,Garcia,1,0,7,1.33,3.0,9.33
Kevin,Ranou,1,0,7,2.0,3.0,10.0
Marine,Ronchard,1,0,7,0.67,3.0,8.67
Jacqueline,Frager,1,0,7,0.67,3.0,8.67
Zara,Seleck,1,0,7,0.0,3.0,8.0
Maurice,Ficher,1,10,7,0.0,0,5.0
Johny,Nguyen,1,0,2,0.0,3.0,4.43
Nicolas,Parker,1,0,7,0.67,3.0,8.67
Simone,Londron,1,0,7,1.33,3.0,9.33
Jean-pierre,Waldman,1,10,0,0.0,0,0.0
Alexis,Allard,0,12,0,0.0,0,0.0
Monique,Farah,1,0,7,0.0,3.0,8.0
Laura,Oldman,1,0,7,2.0,3.0,10.0
Monique,Ficher,1,0,7,0.0,3.0,8.0
Lea,Joly,1,0,7,0.0,3.0,8.0
Delphine,Damon,1,0,2,1.33,3.0,5.76
Fanny,Maisonneuve,1,0,7,0.0,3.0,8.0
Marine,Nguyen,1,7,0,0.0,0,0.0
